id,conversation,question_id,model_name,time,mt,exp,nll,N100,N150,N200,N250,N300,N350,N400,word_speed,line_speed,pixel_speed,saccade,fft,rrt,tft,skip_rate,fixation_time
1,1,100,vicuna-13b-v1.2,28163,2.0,1.75,152.01746309649025,62,17,5,1,0,0,0,331.32941176470587,4693.833333333333,2.936585323756809,143,282.20000000000005,232.40000000000003,282.20000000000005,0.3272727272727272,15850.0
1,2,100,claude-v1,17616,1.0,1.25,176.37208183063194,42,25,11,7,3,2,0,320.2909090909091,3523.2,1.2881768984274875,79,348.6,448.2000000000001,448.2000000000001,0.4352941176470588,25783.33333333333
2,1,88,gpt-3.5-turbo,28752,2.0,2.0,152.40955441242113,77,34,11,6,4,4,4,315.956043956044,4107.428571428572,1.8218151391291035,141,116.20000000000002,232.40000000000003,348.6,0.4945054945054945,26450.000000000004
2,2,88,vicuna-13b-v1.2,23949,1.0,1.0,126.1954256259196,66,26,7,4,4,3,2,342.12857142857143,3991.5,1.9626683351580707,130,348.6,116.20000000000002,199.2,0.4285714285714285,21616.666666666664
3,1,100,gpt-3.5-turbo,22202,2.0,2.0,127.155161358678,58,26,6,3,1,1,1,267.49397590361446,3171.714285714286,2.315025649186829,105,265.6,1228.4,282.20000000000005,0.2727272727272727,23050.0
3,2,100,claude-v1,24947,1.0,1.0,176.37208183063194,57,24,6,3,1,1,0,453.58181818181816,4989.4,1.784545662850033,120,1178.6,780.2,215.8,0.5662650602409639,20316.66666666666
4,1,92,gpt-3.5-turbo,24600,1.0,1.25,125.40418524416702,63,31,12,7,4,2,2,296.3855421686747,3075.0,1.7048666484478436,118,182.6,1543.8000000000002,182.6,0.5555555555555556,24883.33333333333
4,2,92,vicuna-13b-v1.2,27907,2.0,1.75,148.34474092587334,62,19,2,0,0,0,0,387.59722222222223,3986.714285714286,1.6492676615285948,147,348.6,199.2,249.00000000000003,0.4698795180722891,22633.333333333336
5,1,100,alpaca-13b,21315,1.0,1.75,172.68096376792528,56,20,6,4,0,0,0,259.9390243902439,3552.5,1.5247360726198922,118,481.4,265.6,547.8000000000001,0.4578313253012048,25366.666666666664
5,2,100,gpt-3.5-turbo,27916,2.0,1.25,127.155161358678,87,40,11,7,5,4,2,336.33734939759034,3988.0,2.2513697892355573,156,132.8,182.6,182.6,0.5487804878048781,19033.333333333336
6,1,98,claude-v1,25790,2.0,1.75,186.61258690227987,49,16,4,0,0,0,0,437.1186440677966,5158.0,2.3581146955399093,112,348.6,647.4000000000001,381.8,0.3898305084745763,24183.333333333336
6,2,98,gpt-4,21716,1.0,1.25,135.79874998726882,52,26,6,3,3,3,2,334.0923076923077,4343.2,1.937866123797184,114,298.8,298.8,597.6,0.4461538461538462,20033.33333333333
7,1,92,gpt-3.5-turbo,23495,1.0,2.0,125.40416362351344,48,19,6,3,3,3,3,283.0722891566265,2936.875,1.3885241590860478,111,199.2,929.6,265.6,0.5060240963855421,21766.666666666668
7,2,92,claude-v1,24399,2.0,1.0,184.74166885997693,66,22,10,1,0,0,0,353.60869565217394,4066.5,1.780987522392647,146,265.6,282.20000000000005,448.2000000000001,0.3333333333333333,22166.666666666664
8,1,92,gpt-3.5-turbo,26824,1.0,1.5,125.40416362351344,61,30,10,4,1,1,1,323.1807228915663,3353.0,1.5852637600904085,124,182.6,1128.8000000000002,132.8,0.4698795180722891,24783.33333333333
8,2,92,claude-v1,20619,2.0,1.5,184.74166885997693,60,27,10,6,4,3,2,298.8260869565217,3436.5,1.5050691308747897,116,99.6,132.8,481.4,0.4202898550724637,18550.000000000004
