name,sn,wn,dur
001_claude-v1_eye_tracking1_clustered,11,3,232.40000000000003
001_claude-v1_eye_tracking1_clustered,11,4,249.00000000000003
001_claude-v1_eye_tracking1_clustered,11,6,962.8000000000001
001_claude-v1_eye_tracking1_clustered,11,20,199.20000000000002
001_claude-v1_eye_tracking1_clustered,11,45,282.20000000000005
001_claude-v1_eye_tracking1_clustered,11,48,232.40000000000003
001_claude-v1_eye_tracking1_clustered,11,54,265.6
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,16,448.20000000000005
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,17,863.2
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,18,614.2
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,20,1925.6000000000001
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,21,1344.6000000000001
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,22,431.6
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,23,282.20000000000005
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,24,464.80000000000007
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,25,249.00000000000003
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,28,498.00000000000006
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,29,182.60000000000002
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,44,498.00000000000006
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,48,298.8
002_gpt-3.5-turbo_eye_tracking1_clustered,18,12,232.40000000000003
002_gpt-3.5-turbo_eye_tracking1_clustered,18,19,282.20000000000005
002_gpt-3.5-turbo_eye_tracking1_clustered,18,20,581.0
002_gpt-3.5-turbo_eye_tracking1_clustered,18,21,232.40000000000003
002_gpt-3.5-turbo_eye_tracking1_clustered,18,22,215.8
002_gpt-3.5-turbo_eye_tracking1_clustered,18,23,514.6
002_gpt-3.5-turbo_eye_tracking1_clustered,18,32,166.0
002_gpt-3.5-turbo_eye_tracking1_clustered,18,45,946.2
002_gpt-3.5-turbo_eye_tracking1_clustered,18,46,597.6
002_gpt-3.5-turbo_eye_tracking1_clustered,18,48,1427.6000000000001
002_gpt-3.5-turbo_eye_tracking1_clustered,18,51,265.6
002_gpt-3.5-turbo_eye_tracking1_clustered,18,56,1195.2
002_gpt-3.5-turbo_eye_tracking1_clustered,18,72,481.40000000000003
002_gpt-3.5-turbo_eye_tracking1_clustered,18,76,1029.2
002_gpt-3.5-turbo_eye_tracking1_clustered,18,78,581.0
002_gpt-3.5-turbo_eye_tracking1_clustered,18,80,1311.4
002_gpt-3.5-turbo_eye_tracking1_clustered,18,81,199.20000000000002
002_vicuna-13b-v1.2_eye_tracking2_clustered,35,11,116.20000000000002
002_vicuna-13b-v1.2_eye_tracking2_clustered,35,13,249.00000000000003
002_vicuna-13b-v1.2_eye_tracking2_clustered,35,14,1261.6000000000001
002_vicuna-13b-v1.2_eye_tracking2_clustered,35,15,249.00000000000003
002_vicuna-13b-v1.2_eye_tracking2_clustered,35,16,464.80000000000007
002_vicuna-13b-v1.2_eye_tracking2_clustered,35,17,2158.0
002_vicuna-13b-v1.2_eye_tracking2_clustered,35,18,2207.8
002_vicuna-13b-v1.2_eye_tracking2_clustered,35,19,116.20000000000002
002_vicuna-13b-v1.2_eye_tracking2_clustered,35,22,763.6
002_vicuna-13b-v1.2_eye_tracking2_clustered,35,23,381.8
002_vicuna-13b-v1.2_eye_tracking2_clustered,35,37,182.60000000000002
002_vicuna-13b-v1.2_eye_tracking2_clustered,35,44,547.8000000000001
003_claude-v1_eye_tracking1_clustered,11,1,1228.4
003_claude-v1_eye_tracking1_clustered,11,3,514.6
003_claude-v1_eye_tracking1_clustered,11,4,232.40000000000003
003_claude-v1_eye_tracking1_clustered,11,5,564.4000000000001
003_claude-v1_eye_tracking1_clustered,11,6,348.6
003_claude-v1_eye_tracking1_clustered,11,8,664.0
003_claude-v1_eye_tracking1_clustered,11,12,166.0
003_claude-v1_eye_tracking1_clustered,11,14,332.0
003_claude-v1_eye_tracking1_clustered,11,17,249.00000000000003
003_claude-v1_eye_tracking1_clustered,11,20,564.4000000000001
003_claude-v1_eye_tracking1_clustered,11,21,365.20000000000005
003_claude-v1_eye_tracking1_clustered,11,23,332.0
003_claude-v1_eye_tracking1_clustered,11,25,1361.2
003_claude-v1_eye_tracking1_clustered,11,28,813.4000000000001
003_claude-v1_eye_tracking1_clustered,11,42,166.0
003_claude-v1_eye_tracking1_clustered,11,45,232.40000000000003
003_claude-v1_eye_tracking1_clustered,11,48,1079.0
003_claude-v1_eye_tracking1_clustered,11,54,182.60000000000002
003_gpt-3.5-turbo_eye_tracking2_clustered,19,19,780.2
003_gpt-3.5-turbo_eye_tracking2_clustered,19,20,282.20000000000005
003_gpt-3.5-turbo_eye_tracking2_clustered,19,22,431.6
003_gpt-3.5-turbo_eye_tracking2_clustered,19,26,298.8
003_gpt-3.5-turbo_eye_tracking2_clustered,19,34,282.20000000000005
003_gpt-3.5-turbo_eye_tracking2_clustered,19,35,697.2
003_gpt-3.5-turbo_eye_tracking2_clustered,19,37,1095.6000000000001
003_gpt-3.5-turbo_eye_tracking2_clustered,19,40,531.2
003_gpt-3.5-turbo_eye_tracking2_clustered,19,59,232.40000000000003
003_gpt-3.5-turbo_eye_tracking2_clustered,19,73,232.40000000000003
003_gpt-3.5-turbo_eye_tracking2_clustered,19,74,232.40000000000003
003_gpt-3.5-turbo_eye_tracking2_clustered,19,76,332.0
003_gpt-3.5-turbo_eye_tracking2_clustered,19,79,348.6
003_gpt-3.5-turbo_eye_tracking2_clustered,19,81,597.6
004_gpt-3.5-turbo_eye_tracking2_clustered,22,17,199.20000000000002
004_gpt-3.5-turbo_eye_tracking2_clustered,22,19,265.6
004_gpt-3.5-turbo_eye_tracking2_clustered,22,27,415.00000000000006
004_gpt-3.5-turbo_eye_tracking2_clustered,22,29,581.0
