name,wn,dur
001_claude-v1_eye_tracking1_clustered,0,282.20000000000005
001_claude-v1_eye_tracking1_clustered,1,365.20000000000005
001_claude-v1_eye_tracking1_clustered,3,597.6
001_claude-v1_eye_tracking1_clustered,4,498.00000000000006
001_claude-v1_eye_tracking1_clustered,5,232.40000000000003
001_claude-v1_eye_tracking1_clustered,6,1494.0000000000002
001_claude-v1_eye_tracking1_clustered,8,597.6
001_claude-v1_eye_tracking1_clustered,10,199.20000000000002
001_claude-v1_eye_tracking1_clustered,12,298.8
001_claude-v1_eye_tracking1_clustered,13,166.0
001_claude-v1_eye_tracking1_clustered,14,448.20000000000005
001_claude-v1_eye_tracking1_clustered,16,249.00000000000003
001_claude-v1_eye_tracking1_clustered,20,597.6
001_claude-v1_eye_tracking1_clustered,21,381.8
001_claude-v1_eye_tracking1_clustered,22,232.40000000000003
001_claude-v1_eye_tracking1_clustered,25,564.4000000000001
001_claude-v1_eye_tracking1_clustered,26,232.40000000000003
001_claude-v1_eye_tracking1_clustered,27,132.8
001_claude-v1_eye_tracking1_clustered,28,913.0000000000001
001_claude-v1_eye_tracking1_clustered,31,282.20000000000005
001_claude-v1_eye_tracking1_clustered,32,99.60000000000001
001_claude-v1_eye_tracking1_clustered,33,630.8000000000001
001_claude-v1_eye_tracking1_clustered,35,381.8
001_claude-v1_eye_tracking1_clustered,36,381.8
001_claude-v1_eye_tracking1_clustered,37,664.0
001_claude-v1_eye_tracking1_clustered,38,332.0
001_claude-v1_eye_tracking1_clustered,40,415.00000000000006
001_claude-v1_eye_tracking1_clustered,41,298.8
001_claude-v1_eye_tracking1_clustered,42,298.8
001_claude-v1_eye_tracking1_clustered,43,265.6
001_claude-v1_eye_tracking1_clustered,45,913.0000000000001
001_claude-v1_eye_tracking1_clustered,46,415.00000000000006
001_claude-v1_eye_tracking1_clustered,48,564.4000000000001
001_claude-v1_eye_tracking1_clustered,50,249.00000000000003
001_claude-v1_eye_tracking1_clustered,51,249.00000000000003
001_claude-v1_eye_tracking1_clustered,52,249.00000000000003
001_claude-v1_eye_tracking1_clustered,54,929.6000000000001
001_vicuna-13b-v1.2_eye_tracking2_clustered,8,448.20000000000005
001_vicuna-13b-v1.2_eye_tracking2_clustered,14,132.8
001_vicuna-13b-v1.2_eye_tracking2_clustered,15,182.60000000000002
001_vicuna-13b-v1.2_eye_tracking2_clustered,16,664.0
001_vicuna-13b-v1.2_eye_tracking2_clustered,17,1211.8000000000002
001_vicuna-13b-v1.2_eye_tracking2_clustered,18,896.4000000000001
001_vicuna-13b-v1.2_eye_tracking2_clustered,19,199.20000000000002
001_vicuna-13b-v1.2_eye_tracking2_clustered,20,2257.6000000000004
001_vicuna-13b-v1.2_eye_tracking2_clustered,21,1626.8000000000002
001_vicuna-13b-v1.2_eye_tracking2_clustered,22,747.0000000000001
001_vicuna-13b-v1.2_eye_tracking2_clustered,23,1012.6000000000001
001_vicuna-13b-v1.2_eye_tracking2_clustered,24,780.2
001_vicuna-13b-v1.2_eye_tracking2_clustered,25,713.8000000000001
001_vicuna-13b-v1.2_eye_tracking2_clustered,26,232.40000000000003
001_vicuna-13b-v1.2_eye_tracking2_clustered,28,846.6
001_vicuna-13b-v1.2_eye_tracking2_clustered,29,1062.4
001_vicuna-13b-v1.2_eye_tracking2_clustered,32,265.6
001_vicuna-13b-v1.2_eye_tracking2_clustered,33,282.20000000000005
001_vicuna-13b-v1.2_eye_tracking2_clustered,36,348.6
